geoid,var,value
08033,koppen_26,0.30389895547728585
08033,koppen_27,0.20959575616345982
08033,koppen_7,0.3826913303429019
08035,confidence,74.4813289611406
08035,koppen_26,0.6626958159318308
08035,koppen_7,0.33730418406816925
08037,confidence,78.5491818524877
08037,koppen_26,0.22002223320287448
08037,koppen_27,0.4863949381016533
08037,koppen_29,0.05996117378912725
08037,koppen_7,0.23362165490634498
08039,confidence,91.91450717590163
08039,koppen_26,0.025329842210332753
08039,koppen_7,0.9746701577896673
08041,confidence,89.70465771938248
08041,koppen_26,0.21281827169901005
08041,koppen_27,0.033556512316070555
08041,koppen_7,0.7536252159849194
08043,confidence,80.05918098710954
08043,koppen_26,0.07568880541820051
08043,koppen_27,0.17679883239224334
08043,koppen_7,0.7475123621895562
08045,confidence,80.78029504162151
08045,koppen_26,0.2971953149965827
08045,koppen_27,0.2423796583160312
08045,koppen_5,0.005200331053598969
08045,koppen_7,0.45522469563378715
08047,confidence,89.03282063398504
08047,koppen_26,0.2741020271150613
08047,koppen_27,0.7258979728849387
08049,confidence,86.36451423138983
08049,koppen_26,0.10856695811922097
08049,koppen_27,0.7697609528561433
08049,koppen_29,0.05550933125618598
08049,koppen_7,0.06616275776844972
08051,confidence,81.96317121548822
08051,koppen_26,0.10836858223972992
08051,koppen_27,0.6244345392843282
08051,koppen_29,0.05072411607139781
08051,koppen_7,0.21647276240454405
08053,confidence,83.76352618679788
08053,koppen_26,0.031420158860762624
08053,koppen_27,0.7405288440010444
08053,koppen_29,0.22805099713819305
08055,confidence,80.79861912093497
08055,koppen_26,0.11300666760753167
08055,koppen_27,0.11381444905078401
08055,koppen_7,0.7731788833416843
08057,confidence,78.74619538419515
08057,koppen_26,3.678549177151713e-4
08057,koppen_27,0.9996321450822848
08059,confidence,88.13339858629045
08059,koppen_26,0.6536966939978454
08059,koppen_27,0.0770024138991413
08059,koppen_7,0.26930089210301333
08061,confidence,100
08061,koppen_7,1
08063,confidence,100
08063,koppen_7,1
08065,confidence,87.87514064470123
